Species;survey;year;mean_number_pr_haul
Galeus melastomus;SWC-IBTS1;1985;5.279069767
Galeus melastomus;SWC-IBTS1;1986;0.900571429
Galeus melastomus;SWC-IBTS1;1987;0.825667848
Galeus melastomus;SWC-IBTS1;1988;0.323529412
Galeus melastomus;SWC-IBTS1;1989;1.125971651
Galeus melastomus;SWC-IBTS1;1990;0.429902473
Galeus melastomus;SWC-IBTS1;1991;0.116161616
Galeus melastomus;SWC-IBTS1;1992;0.416666667
Galeus melastomus;SWC-IBTS1;1993;0.255376344
Galeus melastomus;SWC-IBTS1;1994;1.071282017
Galeus melastomus;SWC-IBTS1;1995;0.066666667
Galeus melastomus;SWC-IBTS1;1996;0.244444444
Galeus melastomus;SWC-IBTS1;1997;0.264285714
Galeus melastomus;SWC-IBTS1;1998;0.380541872
Galeus melastomus;SWC-IBTS1;1999;0.663461539
Galeus melastomus;SWC-IBTS1;2000;1.147465438
Galeus melastomus;SWC-IBTS1;2001;0.275862069
Galeus melastomus;SWC-IBTS1;2002;0.033333333
Galeus melastomus;SWC-IBTS1;2003;1.310672345
Galeus melastomus;SWC-IBTS1;2004;0.639316239
Galeus melastomus;SWC-IBTS1;2005;0.121212121
Galeus melastomus;SWC-IBTS1;2006;0.307692308
Galeus melastomus;SWC-IBTS1;2007;0.295454546
Galeus melastomus;SWC-IBTS1;2008;0.216216216
Galeus melastomus;SWC-IBTS1;2009;0.590073529
Galeus melastomus;SWC-IBTS1;2010;0.444166667
Galeus melastomus;SWC-IBTS1;2011;1.198039216
Galeus melastomus;SWC-IBTS1;2012;0.458333333
Galeus melastomus;SWC-IBTS1;2013;2.293336561
Galeus melastomus;SWC-IBTS1;2014;1.485490098
Galeus melastomus;SWC-IBTS1;2015;0.325541126
Galeus melastomus;SWC-IBTS1;2016;0.892815362
Galeus melastomus;SWC-IBTS1;2017;0.15625
Galeus melastomus;SWC-IBTS1;2018;0.698529412
Galeus melastomus;SWC-IBTS4;1990;0.384615385
Galeus melastomus;SWC-IBTS4;1991;0.694444444
Galeus melastomus;SWC-IBTS4;1992;0.472222222
Galeus melastomus;SWC-IBTS4;1993;0.284313726
Galeus melastomus;SWC-IBTS4;1994;0.133333333
Galeus melastomus;SWC-IBTS4;1995;0.083333333
Galeus melastomus;SWC-IBTS4;1996;0.052631579
Galeus melastomus;SWC-IBTS4;1997;0.068181818
Galeus melastomus;SWC-IBTS4;1998;0.436507937
Galeus melastomus;SWC-IBTS4;1999;0.883286648
Galeus melastomus;SWC-IBTS4;2000;1.357358441
Galeus melastomus;SWC-IBTS4;2001;1.06875
Galeus melastomus;SWC-IBTS4;2002;1.276656315
Galeus melastomus;SWC-IBTS4;2003;0.65625
Galeus melastomus;SWC-IBTS4;2004;0.484126984
Galeus melastomus;SWC-IBTS4;2005;0.314285714
Galeus melastomus;SWC-IBTS4;2006;0.181818182
Galeus melastomus;SWC-IBTS4;2007;0.946341463
Galeus melastomus;SWC-IBTS4;2008;0.333333333
Galeus melastomus;SWC-IBTS4;2009;0.5075
Galeus melastomus;SWC-IBTS4;2011;2.724637681
Galeus melastomus;SWC-IBTS4;2012;1.515151515
Galeus melastomus;SWC-IBTS4;2014;0.192307692
Galeus melastomus;SWC-IBTS4;2015;0.700190476
Galeus melastomus;SWC-IBTS4;2016;1.234567901
Galeus melastomus;SWC-IBTS4;2017;0.880952381
Galeus melastomus;SWC-IBTS4;2018;0.668642206
Hexanchus griseus;SP-PORC;2001;0.132911392
Hexanchus griseus;SP-PORC;2002;0.149019608
Hexanchus griseus;SP-PORC;2003;0.200453427
Hexanchus griseus;SP-PORC;2004;0.128571429
Hexanchus griseus;SP-PORC;2005;0.130726353
Hexanchus griseus;SP-PORC;2006;0.247135683
Hexanchus griseus;SP-PORC;2007;0.145742251
Hexanchus griseus;SP-PORC;2008;0.106958071
Hexanchus griseus;SP-PORC;2009;0.243399232
Hexanchus griseus;SP-PORC;2010;0.202671295
Hexanchus griseus;SP-PORC;2011;0.263687065
Hexanchus griseus;SP-PORC;2012;0.299115592
Hexanchus griseus;SP-PORC;2013;0.324056815
Hexanchus griseus;SP-PORC;2014;0.235985534
Hexanchus griseus;SP-PORC;2015;0.2875
Hexanchus griseus;SP-PORC;2016;0.284810127
Hexanchus griseus;SP-PORC;2017;0.151898734
Hexanchus griseus;SP-PORC;2018;0.13125
Hippoglossus hippoglossus;NS-IBTS1;1965;0
Hippoglossus hippoglossus;NS-IBTS1;1966;0
Hippoglossus hippoglossus;NS-IBTS1;1967;0
Hippoglossus hippoglossus;NS-IBTS1;1968;0
Hippoglossus hippoglossus;NS-IBTS1;1969;0
Hippoglossus hippoglossus;NS-IBTS1;1970;0.014084507
Hippoglossus hippoglossus;NS-IBTS1;1971;0.007462687
Hippoglossus hippoglossus;NS-IBTS1;1972;0.025641026
Hippoglossus hippoglossus;NS-IBTS1;1973;0
Hippoglossus hippoglossus;NS-IBTS1;1974;0.004504505
Hippoglossus hippoglossus;NS-IBTS1;1975;0.018248175
Hippoglossus hippoglossus;NS-IBTS1;1976;0.016949153
Hippoglossus hippoglossus;NS-IBTS1;1977;0.005649718
Hippoglossus hippoglossus;NS-IBTS1;1978;0.005494506
Hippoglossus hippoglossus;NS-IBTS1;1979;0.009478673
Hippoglossus hippoglossus;NS-IBTS1;1980;0.007317073
Hippoglossus hippoglossus;NS-IBTS1;1981;0.016949153
Hippoglossus hippoglossus;NS-IBTS1;1982;0.036666667
Hippoglossus hippoglossus;NS-IBTS1;1983;0.021126761
Hippoglossus hippoglossus;NS-IBTS1;1984;0.031674208
Hippoglossus hippoglossus;NS-IBTS1;1985;0.026923077
Hippoglossus hippoglossus;NS-IBTS1;1986;0.007874016
Hippoglossus hippoglossus;NS-IBTS1;1987;0.012727273
Hippoglossus hippoglossus;NS-IBTS1;1988;0.006147541
Hippoglossus hippoglossus;NS-IBTS1;1989;0.025531915
Hippoglossus hippoglossus;NS-IBTS1;1990;0.029661017
Hippoglossus hippoglossus;NS-IBTS1;1991;0.02
Hippoglossus hippoglossus;NS-IBTS1;1992;0.020930233
Hippoglossus hippoglossus;NS-IBTS1;1993;0.027638191
Hippoglossus hippoglossus;NS-IBTS1;1994;0.043378995
Hippoglossus hippoglossus;NS-IBTS1;1995;0.03125
Hippoglossus hippoglossus;NS-IBTS1;1996;0.0375
Hippoglossus hippoglossus;NS-IBTS1;1997;0.043478261
Hippoglossus hippoglossus;NS-IBTS1;1998;0.011627907
Hippoglossus hippoglossus;NS-IBTS1;1999;0.014354067
Hippoglossus hippoglossus;NS-IBTS1;2000;0.013761468
Hippoglossus hippoglossus;NS-IBTS1;2001;0.031818182
Hippoglossus hippoglossus;NS-IBTS1;2002;0.055793991
Hippoglossus hippoglossus;NS-IBTS1;2003;0.058035714
Hippoglossus hippoglossus;NS-IBTS1;2004;0.024271845
Hippoglossus hippoglossus;NS-IBTS1;2005;0.040158371
Hippoglossus hippoglossus;NS-IBTS1;2006;0.03286385
Hippoglossus hippoglossus;NS-IBTS1;2007;0.06985
Hippoglossus hippoglossus;NS-IBTS1;2008;0.058845504
Hippoglossus hippoglossus;NS-IBTS1;2009;0.027976191
Hippoglossus hippoglossus;NS-IBTS1;2010;0.028151659
Hippoglossus hippoglossus;NS-IBTS1;2011;0.01010101
Hippoglossus hippoglossus;NS-IBTS1;2012;0.004854369
Hippoglossus hippoglossus;NS-IBTS1;2013;0.019607843
Hippoglossus hippoglossus;NS-IBTS1;2014;0.037037037
Hippoglossus hippoglossus;NS-IBTS1;2015;0.005025126
Hippoglossus hippoglossus;NS-IBTS1;2016;0.015564103
Hippoglossus hippoglossus;NS-IBTS1;2017;0.024681373
Hippoglossus hippoglossus;NS-IBTS1;2018;0.033163265
Hippoglossus hippoglossus;NS-IBTS3;1991;0
Hippoglossus hippoglossus;NS-IBTS3;1992;0.052752294
Hippoglossus hippoglossus;NS-IBTS3;1993;0.025510204
Hippoglossus hippoglossus;NS-IBTS3;1994;0.023684211
Hippoglossus hippoglossus;NS-IBTS3;1995;0.027777778
Hippoglossus hippoglossus;NS-IBTS3;1996;0.040983607
Hippoglossus hippoglossus;NS-IBTS3;1997;0.009259259
Hippoglossus hippoglossus;NS-IBTS3;1998;0
Hippoglossus hippoglossus;NS-IBTS3;1999;0.008547009
Hippoglossus hippoglossus;NS-IBTS3;2000;0.016216216
Hippoglossus hippoglossus;NS-IBTS3;2001;0.013824885
Hippoglossus hippoglossus;NS-IBTS3;2002;0.036363636
Hippoglossus hippoglossus;NS-IBTS3;2003;0.050480769
Hippoglossus hippoglossus;NS-IBTS3;2004;0.064166667
Hippoglossus hippoglossus;NS-IBTS3;2005;0.061111111
Hippoglossus hippoglossus;NS-IBTS3;2006;0.067894737
Hippoglossus hippoglossus;NS-IBTS3;2007;0.084299221
Hippoglossus hippoglossus;NS-IBTS3;2008;0.094059406
Hippoglossus hippoglossus;NS-IBTS3;2009;0.029069767
Hippoglossus hippoglossus;NS-IBTS3;2010;0.004807692
Hippoglossus hippoglossus;NS-IBTS3;2011;0.023084112
Hippoglossus hippoglossus;NS-IBTS3;2012;0.01
Hippoglossus hippoglossus;NS-IBTS3;2013;0.005023474
Hippoglossus hippoglossus;NS-IBTS3;2014;0.004882076
Hippoglossus hippoglossus;NS-IBTS3;2015;0.041666667
Hippoglossus hippoglossus;NS-IBTS3;2016;0.042243528
Hippoglossus hippoglossus;NS-IBTS3;2017;0.036243902
Hippoglossus hippoglossus;NS-IBTS3;2018;0.048445848
Lepidorhombus whiffiagoni;BITSS1;1996;0
Lepidorhombus whiffiagoni;BITSS1;1997;0
Lepidorhombus whiffiagoni;BITSS1;1998;0
Lepidorhombus whiffiagoni;BITSS1;1999;0.025641026
Lepidorhombus whiffiagoni;BITSS1;2000;0.157894737
Lepidorhombus whiffiagoni;BITSS1;2001;0.341463415
Lepidorhombus whiffiagoni;BITSS1;2002;0.418604651
Lepidorhombus whiffiagoni;BITSS1;2003;1.159090909
Lepidorhombus whiffiagoni;BITSS1;2004;1.925
Lepidorhombus whiffiagoni;BITSS1;2005;2.739130435
Lepidorhombus whiffiagoni;BITSS1;2006;1.372093023
Lepidorhombus whiffiagoni;BITSS1;2007;2.275
Lepidorhombus whiffiagoni;BITSS1;2008;0.634615385
Lepidorhombus whiffiagoni;BITSS1;2009;0.125
Lepidorhombus whiffiagoni;BITSS1;2010;0
Lepidorhombus whiffiagoni;BITSS1;2011;0.403846154
Lepidorhombus whiffiagoni;BITSS1;2012;0
Lepidorhombus whiffiagoni;BITSS1;2013;0
Lepidorhombus whiffiagoni;BITSS1;2014;0
Lepidorhombus whiffiagoni;BITSS1;2015;0
Lepidorhombus whiffiagoni;BITSS1;2016;0
Lepidorhombus whiffiagoni;BITSS1;2017;0
Lepidorhombus whiffiagoni;BITSS1;2018;0
Lepidorhombus whiffiagoni;BTSVIII;2011;0.130541872
Lepidorhombus whiffiagoni;BTSVIII;2012;0.117679775
Lepidorhombus whiffiagoni;BTSVIII;2013;0.275201613
Lepidorhombus whiffiagoni;BTSVIII;2014;1.475581986
Lepidorhombus whiffiagoni;BTSVIII;2015;0.754204179
Lepidorhombus whiffiagoni;BTSVIII;2016;1.830483191
Lepidorhombus whiffiagoni;BTSVIII;2017;4.249357701
Lepidorhombus whiffiagoni;EVHOE;1997;6.083527716
Lepidorhombus whiffiagoni;EVHOE;1998;7.258003735
Lepidorhombus whiffiagoni;EVHOE;1999;7.659983559
Lepidorhombus whiffiagoni;EVHOE;2000;5.074326264
Lepidorhombus whiffiagoni;EVHOE;2001;10.04186127
Lepidorhombus whiffiagoni;EVHOE;2002;10.600056
Lepidorhombus whiffiagoni;EVHOE;2003;7.996266607
Lepidorhombus whiffiagoni;EVHOE;2004;6.578408399
Lepidorhombus whiffiagoni;EVHOE;2005;6.748995805
Lepidorhombus whiffiagoni;EVHOE;2006;8.683399972
Lepidorhombus whiffiagoni;EVHOE;2007;8.728818856
Lepidorhombus whiffiagoni;EVHOE;2008;8.830253801
Lepidorhombus whiffiagoni;EVHOE;2009;9.121243273
Lepidorhombus whiffiagoni;EVHOE;2010;8.242170925
Lepidorhombus whiffiagoni;EVHOE;2011;9.686599764
Lepidorhombus whiffiagoni;EVHOE;2012;10.83059533
Lepidorhombus whiffiagoni;EVHOE;2013;9.384358049
Lepidorhombus whiffiagoni;EVHOE;2014;9.405489778
Lepidorhombus whiffiagoni;EVHOE;2015;9.314082594
Lepidorhombus whiffiagoni;EVHOE;2016;9.545906749
Lepidorhombus whiffiagoni;SP-NORTH;1990;15.58538944
Lepidorhombus whiffiagoni;SP-NORTH;1991;5.366188529
Lepidorhombus whiffiagoni;SP-NORTH;1992;11.36010475
Lepidorhombus whiffiagoni;SP-NORTH;1994;4.48979501
Lepidorhombus whiffiagoni;SP-NORTH;1997;10.54406469
Lepidorhombus whiffiagoni;SP-NORTH;2001;6.698169521
Lepidorhombus whiffiagoni;SP-NORTH;2002;6.079884949
Lepidorhombus whiffiagoni;SP-NORTH;2003;3.767897168
Lepidorhombus whiffiagoni;SP-NORTH;2004;3.672124814
Lepidorhombus whiffiagoni;SP-NORTH;2005;3.995134186
Lepidorhombus whiffiagoni;SP-NORTH;2006;3.432273743
Lepidorhombus whiffiagoni;SP-NORTH;2007;4.281170525
Lepidorhombus whiffiagoni;SP-NORTH;2008;2.245526912
Lepidorhombus whiffiagoni;SP-NORTH;2009;2.151110254
Lepidorhombus whiffiagoni;SP-NORTH;2010;4.459076661
Lepidorhombus whiffiagoni;SP-NORTH;2011;9.949083554
Lepidorhombus whiffiagoni;SP-NORTH;2012;5.58197966
Lepidorhombus whiffiagoni;SP-NORTH;2013;9.432697397
Lepidorhombus whiffiagoni;SP-NORTH;2014;4.794521378
Lepidorhombus whiffiagoni;SP-NORTH;2015;16.39727614
Lepidorhombus whiffiagoni;SP-NORTH;2016;23.8307546
Lepidorhombus whiffiagoni;SP-NORTH;2017;28.09884699
Lepidorhombus whiffiagoni;SP-NORTH;2018;23.59531859
Lepidorhombus whiffiagoni;NS-IBTS3;1991;0.382629108
Lepidorhombus whiffiagoni;NS-IBTS3;1992;0.256653992
Lepidorhombus whiffiagoni;NS-IBTS3;1993;0.228744939
Lepidorhombus whiffiagoni;NS-IBTS3;1994;0.31797235
Lepidorhombus whiffiagoni;NS-IBTS3;1995;0.51396648
Lepidorhombus whiffiagoni;NS-IBTS3;1996;2.72489083
Lepidorhombus whiffiagoni;NS-IBTS3;1997;0.35106383
Lepidorhombus whiffiagoni;NS-IBTS3;1998;0.22815534
Lepidorhombus whiffiagoni;NS-IBTS3;1999;0.420289855
Lepidorhombus whiffiagoni;NS-IBTS3;2000;0.865836791
Lepidorhombus whiffiagoni;NS-IBTS3;2001;0.432692308
Lepidorhombus whiffiagoni;NS-IBTS3;2002;1.005098146
Lepidorhombus whiffiagoni;NS-IBTS3;2003;0.753937008
Lepidorhombus whiffiagoni;NS-IBTS3;2004;1.346967836
Lepidorhombus whiffiagoni;NS-IBTS3;2005;1.138066406
Lepidorhombus whiffiagoni;NS-IBTS3;2006;1.799473684
Lepidorhombus whiffiagoni;NS-IBTS3;2007;1.7064
Lepidorhombus whiffiagoni;NS-IBTS3;2008;1.59
Lepidorhombus whiffiagoni;NS-IBTS3;2009;0.875324542
Lepidorhombus whiffiagoni;NS-IBTS3;2010;1.707418843
Lepidorhombus whiffiagoni;NS-IBTS3;2011;1.192728424
Lepidorhombus whiffiagoni;NS-IBTS3;2012;2.485449844
Lepidorhombus whiffiagoni;NS-IBTS3;2013;1.278071074
Lepidorhombus whiffiagoni;NS-IBTS3;2014;0.863139052
Lepidorhombus whiffiagoni;NS-IBTS3;2015;1.288848362
Lepidorhombus whiffiagoni;NS-IBTS3;2016;1.409926527
Lepidorhombus whiffiagoni;NS-IBTS3;2017;1.104466346
Lepidorhombus whiffiagoni;NS-IBTS3;2018;1.0605447
Lepidorhombus whiffiagoni;PT-IBTS;2002;0.035714286
Lepidorhombus whiffiagoni;PT-IBTS;2003;0.073170732
Lepidorhombus whiffiagoni;PT-IBTS;2004;0.057142857
Lepidorhombus whiffiagoni;PT-IBTS;2005;0.048780488
Lepidorhombus whiffiagoni;PT-IBTS;2006;0.081081081
Lepidorhombus whiffiagoni;PT-IBTS;2007;0
Lepidorhombus whiffiagoni;PT-IBTS;2008;0
Lepidorhombus whiffiagoni;PT-IBTS;2009;0.025641026
Lepidorhombus whiffiagoni;PT-IBTS;2010;0.027027027
Lepidorhombus whiffiagoni;PT-IBTS;2011;0.078947368
Lepidorhombus whiffiagoni;PT-IBTS;2013;0
Lepidorhombus whiffiagoni;PT-IBTS;2014;0.212121212
Lepidorhombus whiffiagoni;PT-IBTS;2015;0.285714286
Lepidorhombus whiffiagoni;PT-IBTS;2016;0.302333333
Lepidorhombus whiffiagoni;PT-IBTS;2017;0.411764706
Lepidorhombus whiffiagoni;IE-IGFS;2011;7.256950476
Lepidorhombus whiffiagoni;IE-IGFS;2012;5.020480551
Lepidorhombus whiffiagoni;IE-IGFS;2013;4.020293463
Lepidorhombus whiffiagoni;IE-IGFS;2014;4.696491908
Lepidorhombus whiffiagoni;IE-IGFS;2015;4.998791137
Lepidorhombus whiffiagoni;IE-IGFS;2016;8.794148401
Lepidorhombus whiffiagoni;IE-IGFS;2017;6.140776357
Lepidorhombus whiffiagoni;IE-IGFS;2018;11.95663354
Lepidorhombus whiffiagoni;ROCKALL;1999;9.109756098
Lepidorhombus whiffiagoni;ROCKALL;2001;4.607474785
Lepidorhombus whiffiagoni;ROCKALL;2002;5.727857275
Lepidorhombus whiffiagoni;ROCKALL;2003;6.416666667
Lepidorhombus whiffiagoni;ROCKALL;2005;4.657894737
Lepidorhombus whiffiagoni;ROCKALL;2006;7.984375
Lepidorhombus whiffiagoni;ROCKALL;2007;6.952380952
Lepidorhombus whiffiagoni;ROCKALL;2008;5.837837838
Lepidorhombus whiffiagoni;ROCKALL;2009;7.097560976
Lepidorhombus whiffiagoni;ROCKALL;2011;27.63333333
Lepidorhombus whiffiagoni;ROCKALL;2012;35.27777778
Lepidorhombus whiffiagoni;ROCKALL;2013;30.54430792
Lepidorhombus whiffiagoni;ROCKALL;2014;34.34449625
Lepidorhombus whiffiagoni;ROCKALL;2015;47.92782597
Lepidorhombus whiffiagoni;ROCKALL;2016;28.45022434
Lepidorhombus whiffiagoni;ROCKALL;2017;23.73053471
Lepidorhombus whiffiagoni;ROCKALL;2018;17.8695122
Lepidorhombus whiffiagoni;SP-PORC;2001;73.15222292
Lepidorhombus whiffiagoni;SP-PORC;2002;53.11574475
Lepidorhombus whiffiagoni;SP-PORC;2003;68.32560112
Lepidorhombus whiffiagoni;SP-PORC;2004;66.69504826
Lepidorhombus whiffiagoni;SP-PORC;2005;78.48701856
Lepidorhombus whiffiagoni;SP-PORC;2006;62.40744834
Lepidorhombus whiffiagoni;SP-PORC;2007;54.10469278
Lepidorhombus whiffiagoni;SP-PORC;2008;67.63554305
Lepidorhombus whiffiagoni;SP-PORC;2009;81.99774662
Lepidorhombus whiffiagoni;SP-PORC;2010;75.25372804
Lepidorhombus whiffiagoni;SP-PORC;2011;74.08172903
Lepidorhombus whiffiagoni;SP-PORC;2012;65.91474263
Lepidorhombus whiffiagoni;SP-PORC;2013;62.97607913
Lepidorhombus whiffiagoni;SP-PORC;2014;67.97745182
Lepidorhombus whiffiagoni;SP-PORC;2015;64.13219512
Lepidorhombus whiffiagoni;SP-PORC;2016;70.14357183
Lepidorhombus whiffiagoni;SP-PORC;2017;89.46113974
Lepidorhombus whiffiagoni;SP-PORC;2018;106.1318949
Lepidorhombus whiffiagoni;SWC-IBTS1;1985;4.527272727
Lepidorhombus whiffiagoni;SWC-IBTS1;1986;3.108108108
Lepidorhombus whiffiagoni;SWC-IBTS1;1987;2.782608696
Lepidorhombus whiffiagoni;SWC-IBTS1;1988;3.901960784
Lepidorhombus whiffiagoni;SWC-IBTS1;1989;1.6125
Lepidorhombus whiffiagoni;SWC-IBTS1;1990;1.428571429
Lepidorhombus whiffiagoni;SWC-IBTS1;1991;1.103773585
Lepidorhombus whiffiagoni;SWC-IBTS1;1992;1.689189189
Lepidorhombus whiffiagoni;SWC-IBTS1;1993;2
Lepidorhombus whiffiagoni;SWC-IBTS1;1994;3.546511628
Lepidorhombus whiffiagoni;SWC-IBTS1;1995;3.563829787
Lepidorhombus whiffiagoni;SWC-IBTS1;1996;5.475609756
Lepidorhombus whiffiagoni;SWC-IBTS1;1997;3.9625
Lepidorhombus whiffiagoni;SWC-IBTS1;1998;4.342105263
Lepidorhombus whiffiagoni;SWC-IBTS1;1999;3
Lepidorhombus whiffiagoni;SWC-IBTS1;2000;3.043232912
Lepidorhombus whiffiagoni;SWC-IBTS1;2001;2.293622617
Lepidorhombus whiffiagoni;SWC-IBTS1;2002;2.612910531
Lepidorhombus whiffiagoni;SWC-IBTS1;2003;3.283018868
Lepidorhombus whiffiagoni;SWC-IBTS1;2004;2.674418605
Lepidorhombus whiffiagoni;SWC-IBTS1;2005;1.361702128
Lepidorhombus whiffiagoni;SWC-IBTS1;2006;2
Lepidorhombus whiffiagoni;SWC-IBTS1;2007;2.163934426
Lepidorhombus whiffiagoni;SWC-IBTS1;2008;3.037735849
Lepidorhombus whiffiagoni;SWC-IBTS1;2009;2.68627451
Lepidorhombus whiffiagoni;SWC-IBTS1;2010;2.848214286
Lepidorhombus whiffiagoni;SWC-IBTS1;2011;7.576923077
Lepidorhombus whiffiagoni;SWC-IBTS1;2012;4.767241379
Lepidorhombus whiffiagoni;SWC-IBTS1;2013;9.8
Lepidorhombus whiffiagoni;SWC-IBTS1;2014;5.551020408
Lepidorhombus whiffiagoni;SWC-IBTS1;2015;4.997596154
Lepidorhombus whiffiagoni;SWC-IBTS1;2016;6.011769212
Lepidorhombus whiffiagoni;SWC-IBTS1;2017;5.877155172
Lepidorhombus whiffiagoni;SWC-IBTS1;2018;6.408653846
Lepidorhombus whiffiagoni;SWC-IBTS4;1990;11.85555556
Lepidorhombus whiffiagoni;SWC-IBTS4;1991;9.153061225
Lepidorhombus whiffiagoni;SWC-IBTS4;1992;10.53947368
Lepidorhombus whiffiagoni;SWC-IBTS4;1993;10
Lepidorhombus whiffiagoni;SWC-IBTS4;1994;10.671875
Lepidorhombus whiffiagoni;SWC-IBTS4;1995;6.197916667
Lepidorhombus whiffiagoni;SWC-IBTS4;1996;9.05
Lepidorhombus whiffiagoni;SWC-IBTS4;1997;4.730769231
Lepidorhombus whiffiagoni;SWC-IBTS4;1998;9.2
Lepidorhombus whiffiagoni;SWC-IBTS4;1999;7.303340859
Lepidorhombus whiffiagoni;SWC-IBTS4;2000;8.013155792
Lepidorhombus whiffiagoni;SWC-IBTS4;2001;3.946621016
Lepidorhombus whiffiagoni;SWC-IBTS4;2002;8.098214286
Lepidorhombus whiffiagoni;SWC-IBTS4;2003;6.235294118
Lepidorhombus whiffiagoni;SWC-IBTS4;2004;6.288461539
Lepidorhombus whiffiagoni;SWC-IBTS4;2005;3.358333333
Lepidorhombus whiffiagoni;SWC-IBTS4;2006;4.814814815
Lepidorhombus whiffiagoni;SWC-IBTS4;2007;5.597014925
Lepidorhombus whiffiagoni;SWC-IBTS4;2008;3.79245283
Lepidorhombus whiffiagoni;SWC-IBTS4;2009;4.209677419
Lepidorhombus whiffiagoni;SWC-IBTS4;2011;9.784090909
Lepidorhombus whiffiagoni;SWC-IBTS4;2012;9.389830509
Lepidorhombus whiffiagoni;SWC-IBTS4;2014;11.56140351
Lepidorhombus whiffiagoni;SWC-IBTS4;2015;8.495127436
Lepidorhombus whiffiagoni;SWC-IBTS4;2016;6.058176146
Lepidorhombus whiffiagoni;SWC-IBTS4;2017;8.165282392
Lepidorhombus whiffiagoni;SWC-IBTS4;2018;8.264373179
Leucoraja circularis;EVHOE;1997;0.134263296
Leucoraja circularis;EVHOE;1998;0.026132404
Leucoraja circularis;EVHOE;1999;0.142920706
Leucoraja circularis;EVHOE;2000;0.028571429
Leucoraja circularis;EVHOE;2001;0.143939394
Leucoraja circularis;EVHOE;2002;0.683617379
Leucoraja circularis;EVHOE;2003;0.188026696
Leucoraja circularis;EVHOE;2004;0.284982541
Leucoraja circularis;EVHOE;2005;0.298412698
Leucoraja circularis;EVHOE;2006;0.365106732
Leucoraja circularis;EVHOE;2007;0.533533534
Leucoraja circularis;EVHOE;2008;0.136363636
Leucoraja circularis;EVHOE;2009;0
Leucoraja circularis;EVHOE;2010;0.023255814
Leucoraja circularis;EVHOE;2011;0.049193548
Leucoraja circularis;EVHOE;2012;0.090832633
Leucoraja circularis;EVHOE;2013;0.175990752
Leucoraja circularis;EVHOE;2014;0.090322581
Leucoraja circularis;EVHOE;2015;0.12973352
Leucoraja circularis;EVHOE;2016;0.117272727
Leucoraja circularis;SP-ARSA;1996;0
Leucoraja circularis;SP-ARSA;2000;0
Leucoraja circularis;SP-ARSA;2001;0
Leucoraja circularis;SP-ARSA;2002;0.02
Leucoraja circularis;SP-ARSA;2003;0
Leucoraja circularis;SP-ARSA;2004;0.011111111
Leucoraja circularis;SP-ARSA;2005;0.023809524
Leucoraja circularis;SP-ARSA;2006;0
Leucoraja circularis;SP-ARSA;2007;0.011627907
Leucoraja circularis;SP-ARSA;2008;0.034526854
Leucoraja circularis;SP-ARSA;2009;0.019230769
Leucoraja circularis;SP-ARSA;2010;0
Leucoraja circularis;SP-ARSA;2011;0.043478261
Leucoraja circularis;SP-ARSA;2012;0.05
Leucoraja circularis;SP-ARSA;2013;0.081132076
Leucoraja circularis;SP-ARSA;2014;0.06446281
Leucoraja circularis;SP-ARSA;2015;0.078947368
Leucoraja circularis;SP-ARSA;2016;0.017857143
Leucoraja circularis;SP-ARSA;2017;0.111111111
Leucoraja circularis;SP-ARSA;2018;0.104166667
Leucoraja circularis;SP-NORTH;1990;0
Leucoraja circularis;SP-NORTH;1991;0
Leucoraja circularis;SP-NORTH;1992;0
Leucoraja circularis;SP-NORTH;1994;0.028985507
Leucoraja circularis;SP-NORTH;1997;0
Leucoraja circularis;SP-NORTH;2001;0.012820513
Leucoraja circularis;SP-NORTH;2002;0.013513514
Leucoraja circularis;SP-NORTH;2003;0
Leucoraja circularis;SP-NORTH;2004;0
Leucoraja circularis;SP-NORTH;2005;0.035714286
Leucoraja circularis;SP-NORTH;2006;0.012048193
Leucoraja circularis;SP-NORTH;2007;0.058823529
Leucoraja circularis;SP-NORTH;2008;0.01
Leucoraja circularis;SP-NORTH;2009;0.043010753
Leucoraja circularis;SP-NORTH;2010;0.018348624
Leucoraja circularis;SP-NORTH;2011;0.028985507
Leucoraja circularis;SP-NORTH;2012;0.014492754
Leucoraja circularis;SP-NORTH;2013;0.038235294
Leucoraja circularis;SP-NORTH;2014;0.014285714
Leucoraja circularis;SP-NORTH;2015;0
Leucoraja circularis;SP-NORTH;2016;0
Leucoraja circularis;SP-NORTH;2017;0
Leucoraja circularis;SP-NORTH;2018;0.029411765
Leucoraja circularis;SP-PORC;2001;0.147058824
Leucoraja circularis;SP-PORC;2002;0.282828283
Leucoraja circularis;SP-PORC;2003;0.578431373
Leucoraja circularis;SP-PORC;2004;0.25
Leucoraja circularis;SP-PORC;2005;0.530041963
Leucoraja circularis;SP-PORC;2006;0.354229582
Leucoraja circularis;SP-PORC;2007;0.728907097
Leucoraja circularis;SP-PORC;2008;0.729958577
Leucoraja circularis;SP-PORC;2009;0.523408973
Leucoraja circularis;SP-PORC;2010;0.636925642
Leucoraja circularis;SP-PORC;2011;0.755127666
Leucoraja circularis;SP-PORC;2012;0.871886837
Leucoraja circularis;SP-PORC;2013;0.77431184
Leucoraja circularis;SP-PORC;2014;1.122672673
Leucoraja circularis;SP-PORC;2015;0.953341688
Leucoraja circularis;SP-PORC;2016;0.878787879
Leucoraja circularis;SP-PORC;2017;0.887946429
